Reviews,Acting,Plot,Scene,Comedy,Touching
":))) Hồi mới coi trailer tưởng nội dung dễ đoán :)) nhưng mà twist giật cũng khá hay ho á mọi người. Máu me thì bị cắt kha khá nhưng vẫn okie. Giải trí cuối tuần ổn, hay hơn Tarot nhiều",0,1,0,0,0
rạp go cần thơ chiếu phim này có sét cccd k v m.n tại tui xem phim kinh dị 18+ ở rạp này hoài k sét nhưng sợ lần này họ sét ghê,0,0,0,0,0
Ê phim lắm hay á nói thiệt 🙂‍↕️,0,0,0,0,0
"Phim bạo lực, máu me nên bị cắt bớt vài cảnh nhưng không làm ảnh hưởng đến nội dung. Cùng kiểu với phim Ready or not. Sẽ đi xem lại mặc dù không thích đạo diễn sử dụng trẻ em làm nhân vật chính trong 1 phim đẫm máu như vậy",1,1,1,0,0
"Phải nói là phim rất hay, đó giờ mình rất ít review nhưng hỡi được mình đáng giá hay thì chắc chắn sẽ là rất hay các bạn nhé",0,0,0,0,0
"Xem đến phút cuốI biết được thứ đáng sợ nhất là lòng người chứ không phải ma quỷ. Phim đáng xem, kịch tính, máu me nhiều nhưng có nhiều ý nghĩa khiến bạn suy ngẫm",0,0,0,0,0
"nên xem thử 1lần , thú vị",0,0,0,0,0
"Nội dung khá dễ đoán, làm tốt các cảnh máu me, hồi hộp và một chút hài hước, có ý nghĩa nhân văn ,nên xem nhé",0,1,1,1,0
phim bị cắt bớt cảnh hay.. mà cảnh máu me là cảnh hay..,0,0,1,0,0
Với người sợ máu như mình thì phim khá đáng sợ. Nên xem nhé!,0,0,0,0,0
mun xem hihi,0,0,0,0,0
Nghĩ sẽ hay ak,0,0,0,0,0
"Phim có nhiều tình huống mà sau khi xem xong, mình ngẫm nghĩ lại thấy rất đúng. Ở đời quan trọng là tấm lòng chứ không phải cứ ruột thịt mới có thể hi sinh cho nhau. Út Quý tuy là người sống thô lỗ, bất cần đời nhưng ai đối xử tốt thì sau này có cơ hội đều sẽ",0,1,1,0,0
phim nói về tâm lý và rào cản về tư duy trong mọi gia đình việt nam hiện nay. điều nhức nhối kéo dài gần 20 năm. đâu đó phảng phất hình ảnh của các vị cha mẹ độc hại yếu kém trong cuộc đời này và đổ lỗi con cái. nhưng cũng có hình ảnh yêu thương người thân nên,0,1,0,0,0
"Phim thì cũng hay nhưng để dùng từ xuất sắc thì không. Mọi thứ trong phim đều ổn, từ kịch bản tới nội dung, góc quay, bối cảnh... Diễn viên ai nấy đều tròn vai. Ai cũng khen Trấn Thành diễn giỏi, Tuấn Trần đẹp trai rồi nên thôi mình khen Lê Giang diễn rất",1,1,1,0,0
"trời ơi t tức bộ phim này lắm nha hay gì mà hay dữ vậy á, lúc đầu xem kiểu bth thôi à dè càng xem càng khócccc, một lời khen cho Tuấn Trần là diễn càng ngày càng đạt, có tố chất diễn viên thực thụ, với lại giàu cảm xúc, làm tốt được khả năng của mình, góp một",1,0,0,0,1
phim rất hay nhưng kịch bản hơi có vấn đề phim k chạm tới được cảm xúc tại vì vui buồn xen kẽ khiến ng xem k nhập tâm kịp nhưng nói chung 1 tác phẩm điện ảnh Vn như này rất ok,0,1,0,0,1
rất hay,0,0,0,0,0
"Phim hay!!! Cảm động, thiết thực về con người và đời sống.",0,0,0,0,1
bộ phim làm cho m xem rất là xúc động về tình cảm gia đình nói chung và cha con nói riêng. sự quan tâm và hi sinh thầm lặng của ng cha. nhưng cũng pha nhưng yếu tố hài ước. một bộ phim rất đáng để xem.,0,1,0,1,1
"dù tôi là con trai, nhưng tôi và những ngừoi bạn tôi xem hết phim ở rạp đều thấy ai cũng khóc nức nở. Phim quá tuyệt vời 🥰🥰🥺",0,0,0,0,1
rất hay và tài giỏi của các diễn viên lôi cuốn cảm xúc của mình,1,0,0,0,1
"phim rất hay gần gũi với mọi thế hệ, diễn xuất tự nhiên. Nội dung cài cắm ý nghĩa dễ dàng đi vào lòng người thấy thương và hiểu ông bà ba mẹ hơn: hãy biết trân trọng những gì hiện có. Phim ko phải là tiếc nuối nó đúng hơn là truyền tải tư tưởng khác nhau giữa các thế hệ và mong muốn thấu hiểu nhau hơn.",1,1,0,0,1
đã khóc khi xem !,0,0,0,0,1
phim hay,0,0,0,0,0
phim hay diễn thật,1,0,0,0,0
xem phim đc 2 lần. phim rất thật vs đời sống ngày thường,0,0,0,0,0
"phim quá hay, mình xem tới 4 lần, đưa cả gia đình đi xem",0,0,0,0,0
ai còn cha còn mẹ đầy đủ thì hãy trân trọng lưu giữ lại những khoảnh khắc được ở bên cạnh,0,0,0,0,0
bộ phim lấy được nước mắt và cả nụ cười của khán giả,0,0,0,1,1
"phim khá gần gũi, thực tế.vui và hài . có chiều sâu,đánh thức cách nhìn và cư xử của mỗi cá nhân trong gia đình. hội thoại thê hiện qdiem hop lí của mỗi thế hệ... tuy nhiên có nhieu khúc đang cảm xúc cao trào lại xen hài vào hơi nhanh. đúng chất Trấn thành.",0,1,0,1,0
hay,0,0,0,0,0
hay,0,0,0,0,0
loveeeee thànhhhhhh,0,0,0,0,0
"Phim rất đầu tư về lời thoại, nội dung khá hay, nhưng vẫn tức cái kết!",0,1,0,0,0
phim rất hay,0,0,0,0,0
"hay, nhiều cung bậc cảm xúc",0,0,0,0,0
Một bộ phim rất hay nó đánh vào tâm lý của tôi và tôi rất hài lòng,0,0,0,1,0
hay ý nghĩa mà m thấy đa phần các gia đình viẹt nam gạp phải,0,0,0,0,0
hay,0,0,0,0,0
"Phom khá hay, nên đi xem.",0,0,0,0,0
hâyyayayy,0,0,0,0,0
phim hay,0,0,0,0,0
rat hay,0,0,0,0,0
phim cảm động khiến mình nhìn nhận và biết lo cho ba mẹ hơn,0,0,0,0,1
hay ghe,0,0,0,0,0
phim rất ý nghĩa🥰,0,0,0,0,0
hay,0,0,0,0,0
hay va y nghia vua vui vua khoc,0,0,0,0,0
rất xúc động,0,0,0,0,1
❤️,0,0,0,0,0
"tôi cảm ơn đạo diễn và ekip khi cho khán giả xem bộ phim tạo cảm giác thư thái , cảm xúc lẫn lộn khó tả về gia đình",1,0,0,0,1
phim hay như mong đợi của người xem. nhiều đoạn tình cảm rơi nc mắt luôn. có những câu nói đi vào lòng người nữa. phim này quá ý nghĩa,0,0,0,0,1
loveee,0,0,0,0,0
"phim hay, ấn tượng, xúc động, đầy hài hước, bất ngờ... có điều còn 1 lần nói tục.kkk",0,0,0,1,1
Phim hay và ý nghĩa về tình cảm gia đình,0,0,0,0,0
"Hài hước và nước mắt có đủ ! bộ phim rất hay , đúng với xã hội bây giờ",0,0,0,1,1
"trùng hợp nhiều thứ, làm mình thấy phim như đời thực",0,0,0,0,0
quá tuyệt vời,0,0,0,0,0
gút,0,0,0,0,0
👍👍👍👍,0,0,0,0,0
hay lắm luôn,0,0,0,0,0
Phim thật sự rất hay. Mình coi lần 2 vẫn khóc nhen 😭,0,0,0,0,1
Hay,0,0,0,0,0
"Xem xong cảm giác như phim nói về csgđ của mình vậy. Thật sự cảm động. Phim hay, lôi cuốn, các diễn biến vừa hài hước vừa cảm động khiến khán giả cười ra nước mắt. Đáng tiền xem ạ!",0,0,0,1,1
"phim thật sự rất hay, đã làm mình khóc, rất đáng tiền",0,0,0,0,1
tuyệt vời! chỉ muốn đi xem lại tiếp thôi,0,0,0,0,0
phim rất hay,0,0,0,0,0
"Cá nhân mình thấy phim bình thường chứ kh hay lắm,một số tình tiết còn vô lý.Nhưng dù sao phim vẫn rất có ý nghĩa. Đáng để xem",0,1,0,0,0
phim hay lắm luon vừa cảm động vừa hài,0,0,0,1,1
phim hay,0,0,0,0,0
thật sự rất hài lòng về bộ phim. trên cả tuyệt vời,0,0,0,1,0
rất hay,0,0,0,0,0
hay,0,0,0,0,0
phim rất hay và rất nhiều cảm xúc,0,0,0,0,0
tuyet voi,0,0,0,0,0
rất hay,0,0,0,0,0
rất hay!,0,0,0,0,0
hay,0,0,0,0,0
"Rất hay,cảm động lôi cuốn người xem.",0,0,0,0,1
hay,0,0,0,0,0
rất hay,0,0,0,0,0
"nói chung là hay lắm nka mn, coi dii rồi khóc ^^",0,0,0,0,1
tuyet voi,0,0,0,0,0
"trước giò không xem phim rạp đặc biệt là phim việt nhưng mấy ngày qua thấy dân tình đòn đại rồi rủ nhau xem , khi đọc tháy doanh thu của phim đạt khủng tôi vẫn hoài nghi về nội dung nhưng đến sáng nay để gíai đáp hoài nghi trong lòng nên tôi quyết định xem và",0,1,0,0,0
phim hay,0,0,0,0,0
good,0,0,0,0,0
Chạm đến trái tim người xem. Thấy được hình ảnh bản thân và gia đình trong từng vai diễn,1,0,0,0,1
"Phim cũng hay, mà mình không có khóc....",0,0,0,0,1
phim quá bth,0,0,0,0,0
good,0,0,0,0,0
"phim hay và ý nghĩa, nội dung và diễn viên thì khỏi bàn",1,1,0,0,0
chưa bao giờ đi coi phim thì nên đi coi một lần trong đời!,0,0,0,0,0
quá xuất sắc 🤩,0,0,0,0,0
đi xem 2 lần là khóc hết 2 lần,0,0,0,0,1
xúc động,0,0,0,0,0
diễn xuất bình thường,1,0,0,0,0
quá hay,0,0,0,0,0
rất hay,0,0,0,0,0
film hay,0,0,0,0,0
"phim có mấy tình tiết cảm động , đoạn cuối thì mình hơi bất ngờ k hiểu sao ba sang đc phẫu thuật ghét thận mà lại mất ? rõ lúc mổ còn nói là mong ca phẫu thuật thành công mà hix",0,1,0,0,1
bộ phim rất hay rất ý nghĩa ❤️,0,0,0,0,0
Xúc động và khóc sưng mắt,0,0,0,0,1
Vợ chồng mình đi xem phim cùng Bố Mẹ 。 bộ phim lấy đi khá nhiều nước mắt của gia đình mình。phim hay。。。。。,0,0,0,0,1
Trước giờ chưa có bộ phim nào lấy được nước mắt của tôi. Phim quá tuyệt vời và rất ý nghĩa. Chúc mừng phim đã thành công.,0,0,0,0,0
cảm động,0,0,0,0,1
HAY,0,0,0,0,0
"Diễn viên tròn vai, cốt truyện bình thường, hơi dài dòng. Khúc đầu coi muốn buồn ngủ.",1,1,0,0,0
"như nói lên cs chính mình, x",0,0,0,0,0
tuyệt vời,0,0,0,0,0
"phim hay không thể tả, cực kỳ thích phim",0,0,0,0,0
xúc động,0,0,0,0,1
ko nói lên lời,0,0,0,0,0
cám ơn bố già đã mang đến tác phẩm rất ý nghĩa,0,0,0,0,0
"Đó giờ mình chưa bao giờ thấy phim điện ảnh VN nào mà hay, xúc động lẫn hài hước và ý nghĩa như vậy. Xem xong dư âm trong lòng vẫn còn khiến cho mình muốn xem lại lần nữa",0,0,0,1,1
Lâu rồi mới có bộ phim khiến mình muốn ra rạp coi lại lần nữa :))),0,0,0,0,0
phim quá xuất sắc mọi người nên đi xem 👍,0,0,0,0,0
cứ nghĩ xem cả phim mình đã không khóc cú twist cuối phim cũng đã làm t rơi lệ huhu,0,0,0,0,1
siêu phẩm😻,0,0,0,0,0
hay quá,0,0,0,0,0
phim rất hay và cảm động,0,0,0,0,1
phim dở lắm đừng coi huhu 5 sao nha,0,0,0,0,0
ko có từ gì để tả,0,0,0,0,0
nên xem nha mn,0,0,0,0,0
Thích Woắn với Bù Tọt Anh em thì anh em Cha con thì cha con Nào có sao đâu Đều là sự quan tâm yêu thương che chở❤️❤️,1,0,0,0,0
"phim bị dàn trải và lê thê, đặt ra quá nhiều vấn đề nhưng không giải quyết, biên kịch tham lam với nhiều trường đoạn căng thẳng, khiến người xem không thể tìm ra cao trào của phim.",0,1,0,0,0
"bộ phim rất thành công, ý nghĩa, xúc động...nhưng hơi tiếc về cái kết, pải chi ba sang còn sống thì sẽ tuyệt hơn",0,0,0,0,1
"Cảm thấy có bóng hình mình trong đó.Có những khoảnh khắc nào đó lỡ lớn tiếng với ba mẹ, không phải vì mình chướng tính, khó ưa mà chỉ vì thương họ quá nhiều.Ba mẹ là người chỉ biết cho đi tình yêu thương mà không muốn nhận lại, là người chưa từng một giây yêu",0,0,0,0,0
qá đỉnh,0,0,0,0,0
xuất xắc,0,0,0,0,0
Em thật sự rất yêu mến anh Trấn Thành. Sau khi xem xong em chỉ muốn về thật nhanh để ở cạnh ba mẹ. Em cảm ơn vì anh đã đem đến cho mọi người 1 cảm xúc tuyệt vời,0,0,0,0,0
phim hay,0,0,0,0,0
đỉnh,0,0,0,0,0
đỉnh của đỉnh,0,0,0,0,0
"Mình thấy phim nói đúng về thực trạng xã hội hiện nay, ngôn từ bình dân nhưng khong thô thiển, nắm được tâm lý của những người làm con như chúng tôi.... nói chung cảm động và nhân văn! xem xong vẫn muốn được xem lại n lần nữa",0,0,0,0,1
Khóc khá nhiều ạ,0,0,0,0,1
"k bt diễn tả ntn , quá hay",0,0,0,0,0
quá cảm động,0,0,0,0,1
"phim hay , xúc động thiết thực con người và đời sống",0,0,0,0,0
cười xỉu,0,0,0,1,0
hay lắm nha rất ý nghĩa,0,0,0,0,0
Bộ phim không có một câu thoại nào là thừa thãi,0,0,0,0,0
"Phim thật sự hay và rất là đời, xem phim đồng cảm và khiến bạn phải ám ảnh cho đến khi bộ phim kết thúc! Phim rất đáng xem, tôi là một người ít khi ra rạp xem nhưng một khi đã xem đã khiến tôi lưu luyến mãi mãi....",0,0,0,0,1
Bộ phim đáng để xem 😭🥰,0,0,0,0,0
đỉnh,0,0,0,0,0
Dàn diễn viên gạo cội.Ko phải là tuyệt tác nhưng nó là cực phẩm.Đánh trúng tâm lí thế hệ trẻ ngày nay.Bộ phim đáng xem nhất của năm ❤️❤️❤️,1,0,0,0,0
Cảm ơn Bố Già! Cảm ơn Trấn Thành. Bộ phim tuyệt vời,0,0,0,0,0
quén & bé bù tọt￼￼ 👨‍👧❤️,0,0,0,0,0
"xúc động thật sự, huhu",0,0,0,0,0
"Phim mang đến cho mình có cảm giác như mình là một nhân vật nào đó trong bộ phim , có rất nhiều tình tiết hay và gây xúc động . Tuy nhiên , khi cái cảnh đó cảm xúc đang tới khúc cao trào thì lúc đó lại thêm tấu hài zô làm tụt cảm xúc . Có lẽ Bố Già ko muốn bộ",0,0,1,1,0
cực kì hay gất hay mình chỉ tức phim ở chỗ đang xúc động rồi chỉ vì 1 câu nói cái mất luôn sự xúc động tức ghê á mà nói chung phim cực hay,0,0,0,0,0
phim hayyyyyyy,0,0,0,0,0
1 bộ phim đáng xem,0,0,0,0,0
Thật sự hay☺️,0,0,0,0,0
Quá xuất sắc 🤩🤩,0,0,0,0,0
phim thật sự rất xúc động. mình dở khóc dở cười với bộ phim này. rất đáng để xem,0,0,0,1,1
Bộ phim nói về tình cảm gia đình rất xúc động,0,0,0,0,1
bạn mình thích nên 2 đứa đi xem tận 3 lần ;;)) lần đầu tiên luôn,0,0,0,0,0
"hay, xúc động. coi xong chỉ muốn chạy ngay về ôm cha mình 🤧",0,0,0,0,1
Đoạn đầu thì xem buồn cười lắm . Nhưng gần đoạn cuối thì khóc thạt sự luôn. .Mọi người đi xem phim nhớ chuản bị ít giấy ăn nhé .:((,0,0,0,1,1
Quá tuyệt với👍,0,0,0,0,0
bộ phim tuyệt vời,0,0,0,0,0
cung bậc cảm xúc có ĐỦ ❤️,0,0,0,0,0
Phim rất hay nhé. Nếu bạn là người sống tình cảm thì khóc rất nhiều nên đem theo khăn giấy nhoaa :vv,0,0,0,0,1
hay đáng xem,0,0,0,0,0
"quá hay, quá cảm xúc, xuất sắc!",0,0,0,0,0
một bộ phim hay đáng đồng tiền. mọi người nên đi xem nghen ^^,0,0,0,0,0
Quá xuất sắc,0,0,0,0,0
khóc thật sự luôn,0,0,0,0,1
"hay, tuyệt vời",0,0,0,0,0
khúc đầu hài hài dễ thương. thích nhất bé Ngân Chi diễn. về sau thì có chút bi. khúc cuối thấy Tuấn Trần nói chuyện với bố Thành mình tưởng phẩu thuật thành công; đến khi nghe A Woắn nói với con gái ông nội còn ở đây 49 ngày nữa thì khóc thật sự :((((,1,0,0,1,1
phim hay,0,0,0,0,0
Rất hay. Rất ý nghĩa,0,0,0,0,0
tốt,0,0,0,0,0
bộ phim hay nhất từng xem,0,0,0,0,0
"1 bộ phim hay, rất ""đời"" , khiến người xem phải suy nghĩ về cha mẹ và gia đình, mình đã khóc rất nhiều và cũng đã thay đổi quan tâm đến gđ nhiều hơn. tuyệt vời ❤",0,0,0,0,1
phim quá đỉnh,0,0,0,0,0
hayyy,0,0,0,0,0
hay,0,0,0,0,0
best 👍,0,0,0,0,0
phim dùng những từ ngữ đơn giản dễ hiểu cùng với hình ảnh sài gòn nhưng năm 60 hay 70 . mang đến rất nhiều thông điệp cho người xem và những bài học thật sự có giá trị .mỗi diễn viên có những tính cách hay những quan điểm riêng nhưng quy tụ lại vẫn là gia đình,1,1,0,0,0
tuyện vời 🤣,0,0,0,0,0
🥰 phim hay xuất sắc luôn,0,0,0,0,0
bộ phim đặc sắc về tình cảm gia đình . mình cũng dẫ gần hơn 7 năm chưa chụp hình vs gia đình r,0,0,0,0,0
good job,0,0,0,0,0
best of year,0,0,0,0,0
rất đáng xem,0,0,0,0,0
hay lắm luôn,0,0,0,0,0
phim rất hay và rất ý nghĩa nha,0,0,0,0,0
e thật sự khâm phục đạo diễn và TT thật sự bộ phim quá thật với cuộc sống diễn viên rất trọn vẹn và rất nhập tâm e khóc tận mấy lần thật sự đây là bộ phim thứ 2 của Việt Nam mà e thấy đáng xem nhất và muốn xem tận mấy lần nữa và ko uổng chi phí của mọi người,1,0,0,0,1
Tuyệt vời,0,0,0,0,0
quá hay lun,0,0,0,0,0
tuyệt vời,0,0,0,0,0
thật sự bộ phim rất hay và ý nghĩa ko nói nhiều mọi người mau ra rạp xem liền đi ko uổng tiền đâu ....rất rất hay,0,0,0,0,0
đáng xem rất hay về tình cảm gd,0,0,0,0,0
phim đỉnhhh,0,0,0,0,0
phim rất hay rất ý nghĩa về cuộc sống đời thường. Riêng bản thân mình thấy bộ phim này rất giống ngoài đời xem rất là xúc động và đặc biệt là rất hài hước😁. nói chung 2 chữ thôi “Tuyệt vời” ❤️,0,0,0,1,1
Bộ phim rất đời. Có nhiều câu thoại khiến mình ngẫm về cuộc sống của mình về ba mẹ mình. Một bộ phim rất đáng tiền để xem.,0,0,0,0,0
hay,0,0,0,0,0
"Bộ phim mang đến rất nhiều cảm xúc cho người xem Vui, Buồn, Bất Ngờ, Xúc Động, hài hước, và đặc biệt là khóc. rất đáng tiền để xem và xem nhiều lần nha mọi người. Chúc mừng anh Trấn Thành",0,0,0,1,1
rất hay và ý nghĩa,0,0,0,0,0
gud,0,0,0,0,0
"Phim hay. Đâu đó sẽ có người được thấy mình trong nhân vật đứa con dưới sự kiềm cặp của bố mẹ & phải đi theo mô-tuýp mà bố mẹ đặt ra. Và đâu đó cũng sẽ có những ông bố, bà mẹ xem phim, ngẫm, nghĩ và nhìn nhận lại cách giáo dục con mình có ổn chưa, đã có bao",1,0,0,0,0
"Phim xem ổn. Điểm nhấn chính là sự hài hước và tiết tấu. Kết phim chưa thực sự hài lòng. 1 số nhân vật hoành tráng ở đầu và giữa phim, thì cuối phim mờ nhạt. Diễn biến phim hoặc chưa dành đủ thời gian, hoặc chưa nhấn mạnh đủ để dẫn đến các kết quả ở cuối phim.",1,1,0,1,0
Em khóc nhiều khi xem phim này.em cảm thấy em rất may mắn khi có mẹ ở bên.khi quen người yêu.lúc trẻ con cãi nhau.mẹ là người khuyên rằng con phải thật bình tĩnh.thấu hiểu.em và người yêu đi xem.2 đứa nhìn nhau và nói với nhau rằng.thật cảm ơn vì 2 đứa đã kịp,0,0,0,0,1
"phim đối với mình chưa đặc sắc lắm, ko xúc động như mng review. Nữ 9 diễn tạm ổn, mẹ n9 thì mặt diễn hơi đơ. Các vai diễn khác cũng tạm. Kịch bản chấp nhận được . Âm thanh hơi ồn. Tóm lại mình hài lòng so với mặt bằng phim việt nói chung.",1,1,0,1,1
"nội dung phim bám sát thực tiễn, văn nói hay và ý nghĩa mặc dù hơi thô tí nhưng đó là ngôn ngữ thực tế và trend bây giờ. Cám ơn đạo diễn và dàn ekip cho ra mắc bộ phim hay này nhé! Chúc đoàn phim ngày càng thành công!",1,1,0,0,0
"việc gì cũng là dễ dàng cho đến khi ta thực hiện nó. Mọi lý thuyết mộng mơ của những người trẻ tuổi khi trải qua biến cố cuộc đời đều phải nghiệm ra rằng cuộc đời không có màu hồng như chúng vẫn tưởng tượng, không thành công nào dễ dàng có được, kể cả trong sự",0,0,0,0,0
"giá như bộ phim không phải 1h45 mà là 2h15p .để triển khai nội dung không quá nhanh .thêm phần sâu sắc của từng nhân vật cũng như thêm bối cảnh tình huống cãi nhau,tình huống chia sẽ,tình huống tâm sự giữa a rễ và em vợ.nội dụng phim hay cốt truyện lôi cuốn, diễn viên hay",1,1,1,0,0
"Thực sự bộ phim quá tuyệt vời, từ trước đến giờ mình chưa có ấn tượng nhiều về diễn viên Lê Giang, nhưng lần này bà Nữ để lại cho mình quá nhiều ấn tượng, về nhà còn xem đi xem lại đoạn cắt. Chưa bao giờ bị thất vọng khi xem phim của Trấn Thành. Xem xong phim",1,0,0,0,0
""" thực"" là từ để nói về phim, có quá nhìu ý kiến trái chiều... đvoi mình, khen hay chê về 1 bộ phim vì 1 vài yếu tố thì thực sự k thể phản ánh hết... mà tùy vào góc nhìn của mỗi người và nội dung cũng như thông điệp bộ phim muốn truyền tải... thật ra Trấn",0,1,0,0,0
"Mình không đánh giá đây là 1 bộ phim hay hay xuất sắc đỉnh cao, vì mình nghĩ đây là ý kiến cá nhân của mỗi người. Nhưng với cá nhân mình, bộ phim khá thực tế, một vài phân đoạn mình nhìn thấy mình và mẹ trong đó, nhìn thấy mình của những ngày vô định, cũng có",0,0,1,0,0
phim hay quá trời,0,0,0,0,0
hay,0,0,0,0,0
nhãm,0,0,0,0,0
hay lắm,0,0,0,0,0
phim rất hay nhaa,0,0,0,0,0
"hay , xem vừa hài vừa cảm động",0,0,0,1,1
nhạt,0,0,0,0,0
phim hay lắm,0,0,0,0,0
khá hay,0,0,0,0,0
"phim dien tả điều thực tế, cảm xúc thật, cũng có những pha gây cười",0,0,0,1,0
"Phim hay, xúc động",0,0,0,0,1
coi xong mới thấy xàm. thấy uổng tiền,0,0,0,0,0
"Không phải fan Chấn Thànk nhưng phim Chấn Thànk làm hay, diễn xuất tự nhiên không bị ngượng như đại đa số phim Việt.",1,0,0,0,0
