Reviews,Acting,Plot,Scene,Comedy,Touching,Preprocessed Reviews
Rồi bà nv chính lừa khỉ. Xong lấy súng bắn. Xong đến tạm biệt còn giấu cây súng ở sau lưng để làm gì nữa vậy. Đúng là k tin được con người mà. Ghét bà nhân vật chính trong này quá.,0,1,0,0,0,bà nhân_vật chính lừa_khỉ xong lấy súng bắn xong đến tạm_biệt giấu cây súng ở sau lưng để làm_gì nữa vậy đúng không tin được con_người ghét bà nhân_vật chính trong
Quá dở,0,0,0,0,0,dở
Phim buồn ngủ . Ai thích chậm hả xem,0,0,0,0,0,phim buồn_ngủ ai thích chậm hả xem
Hình ảnh phim đẹp Tuy nhiên kịch bản lan man quá,0,0,1,0,0,hình_ảnh phim đẹp tuy_nhiên kịch_bản lan_man
Chán nha. 😀👎,0,0,0,0,0,chán
Phim hay,0,0,0,0,0,phim hay
Không như mong đợi tạm ổn thôi,0,0,0,0,0,không mong_đợi tạm ổn thôi
Series này mãi hay,0,0,0,0,0,series mãi hay
"Coi phim phần đầu dài lê thê buồn ngủ không chịu nổi luôn, dở hơn 2 phần trước rất nhiều, nguyên rạp cứ kiểu nói chuyện phiếm luôn chứ chỉ tập trung được vài khúc hành động 🥹🥹",0,0,0,0,0,coi phim phần đầu dài lê_thê buồn_ngủ không chịu nổi dở hơn 2 phần trước rất nhiều nguyên_rạp cứ nói_chuyện phiếm chứ chỉ tập_trung được vài khúc hành_động
Phim hay quá tr đáng xem lắm :33,0,0,0,0,0,phim hay trời đáng xem 33
Cũng bình thường. Xem tạm cũng k thấy phí tiền lắm.,0,0,0,0,0,bình_thường xem tạm không thấy phí tiền
"Xem phim buồn ngủ dã man, kết mở xà lơ hết sức",0,0,0,0,0,xem phim buồn_ngủ dã_man_kết mở xà_lơ hết_sức
"Phim hay lắm nha anh em, mấy đứa chê chắc do chưa coi phần 1 :))",0,0,0,0,0,phim hay anh_em mấy đứa chê chắc do chưa coi phần 1
Phim nhạt như nước ốc. Phí tiền,0,1,0,0,0,phim nhạt nước ốc_phí tiền
T thấy phim khá ổn về nội dung còn hình ảnh thì đẹp mắt… đáng xem nhất tháng r,0,1,1,0,0,t thấy phim khá ổn nội_dung hình_ảnh đẹp_mắt đáng xem nhất tháng
Nhịp phim hơi chậm . Không kịch tính lắm.,0,1,0,0,0,nhịp phim hơi chậm không kịch_tính
"Phim hay trong dàn phim kinh dị ra rạp rồi, cốt truyện ổn, diễn viên ok, giọng thoại hay , nên đặt vé xem luôn ko nên xem trailer hay hình ảnh gì hết thì plot twist sẽ bất ngờ hơn.",1,1,1,0,0,phim hay trong dàn phim kinh_dị ra rạp cốt truyện_ổn diễn_viên ok giọng_thoại hay đặt vé xem không xem trailer hay hình_ảnh hết plot twist bất_ngờ hơn
ý kiến của mình thì thấy phim hay nha 🫰🏻,0,0,0,0,0,ý_kiến thấy phim hay
Phim hay nha mn :))) đáng để xem 1 lần trong đời,0,0,0,0,0,phim hay nha_mn đáng để xem 1 lần trong đời
Máu me nhiều . Kinh dị một số pha hài hước đáng xem giải trí,0,0,0,1,0,máu_me nhiều kinh_dị một_số pha hài_hước đáng xem giải_trí
Phim hay ạ. Coi thấy kịch tính thiệt. Đáng xem á mn,0,0,0,0,0,phim hay coi thấy kịch_tính thiệt_đáng xem á_mn
Phim hay và vui lắm nên xem nha,0,0,0,0,0,phim hay vui xem
"Phim máu me, có plot twist cũng okila. Nên xem",0,0,0,0,0,phim máu_me plot twist ok xem
"Phim không hay hài ko ra hài, kinh dị không kinh dị. Cốt chuyện không hay",0,1,0,1,0,phim không hay hài_ko ra hài kinh_dị không kinh_dị_cốt chuyện không hay
Phim kinh dị mà hong sợ,0,0,0,0,0,phim kinh_dị hong sợ
"Lần đầu đánh giá phim, cá nhân tôi đây là phim kinh dị hay nhất nửa đầu năm nay. Nói chung đáng tiền ngồi rạp",0,0,0,0,0,lần đầu đánh_giá phim cá_nhân tôi đây phim kinh_dị hay nhất nửa đầu năm nay nói_chung đáng tiền ngồi rạp
Ui đáng xemmm lắm hiểu rõ lòng ngườii,0,0,0,0,0,ui đáng xem hiểu rõ lòng người
Phim hay nha,0,0,0,0,0,phim hay
Hay,0,0,0,0,0,hay
"Phim khá hay, nhiều plot khá ổn, nhưng khuyến cáo ai sợ máu thì không nên xem vì phim kiểu ""khá"" là nhiều máu. Không có after the scene nên không cần đợi.",0,1,0,0,0,phim khá hay nhiều plot khá ổn nhưng khuyến_cáo ai sợ máu không xem phim khá nhiều máu không after the scene không cần đợi
Phim hay,0,0,0,0,0,phim hay
":))) Hồi mới coi trailer tưởng nội dung dễ đoán :)) nhưng mà twist giật cũng khá hay ho á mọi người. Máu me thì bị cắt kha khá nhưng vẫn okie. Giải trí cuối tuần ổn, hay hơn Tarot nhiều",0,1,0,0,0,hồi mới coi trailer tưởng nội_dung dễ_đoán nhưng_mà twist_giật khá hay ho_á mọi người máu_me cắt kha_khá nhưng ok giải_trí cuối tuần ổn hay hơn tarot nhiều
rạp go cần thơ chiếu phim này có sét cccd k v m.n tại tui xem phim kinh dị 18+ ở rạp này hoài k sét nhưng sợ lần này họ sét ghê,0,0,0,0,0,rạp go cần thơ chiếu_phim sét cd không v m n tại tui xem phim kinh_dị 18 ở rạp hoài_k sét nhưng sợ lần họ sét ghê
Ê phim lắm hay á nói thiệt 🙂‍↕️,0,0,0,0,0,phim hay nói thiệt
"Phim bạo lực, máu me nên bị cắt bớt vài cảnh nhưng không làm ảnh hưởng đến nội dung. Cùng kiểu với phim Ready or not. Sẽ đi xem lại mặc dù không thích đạo diễn sử dụng trẻ em làm nhân vật chính trong 1 phim đẫm máu như vậy",1,1,1,0,0,phim bạo_lực máu_me cắt bớt vài cảnh nhưng không làm ảnh_hưởng đến nội_dung cùng phim ready or not đi xem_lại mặc_dù không thích đạo_diễn sử_dụng trẻ_em làm nhân_vật chính trong 1 phim đẫm máu như_vậy
"Phải nói là phim rất hay, đó giờ mình rất ít review nhưng hỡi được mình đáng giá hay thì chắc chắn sẽ là rất hay các bạn nhé",0,0,0,0,0,phải nói phim rất hay đó giờ rất ít review nhưng hỡi được đáng_giá hay chắc_chắn rất hay các bạn
"Xem đến phút cuốI biết được thứ đáng sợ nhất là lòng người chứ không phải ma quỷ. Phim đáng xem, kịch tính, máu me nhiều nhưng có nhiều ý nghĩa khiến bạn suy ngẫm",0,0,0,0,0,xem đến phút cuối biết được thứ đáng sợ nhất lòng người chứ không phải ma_quỷ phim đáng xem kịch tính máu_me nhiều nhưng nhiều ý_nghĩa khiến bạn suy_ngẫm
"nên xem thử 1lần , thú vị",0,0,0,0,0,xem thử 1 lần thú_vị
"Nội dung khá dễ đoán, làm tốt các cảnh máu me, hồi hộp và một chút hài hước, có ý nghĩa nhân văn ,nên xem nhé",0,1,1,1,0,nội_dung khá dễ_đoán làm tốt các cảnh máu_me hồi_hộp một_chút hài_hước ý_nghĩa nhân_văn xem
phim bị cắt bớt cảnh hay.. mà cảnh máu me là cảnh hay..,0,0,1,0,0,phim cắt bớt cảnh hay cảnh máu_me cảnh hay
Với người sợ máu như mình thì phim khá đáng sợ. Nên xem nhé!,0,0,0,0,0,người sợ máu phim khá đáng sợ xem
mun xem hihi,0,0,0,0,0,mun xem
Nghĩ sẽ hay ak,0,0,0,0,0,nghĩ hay
"Phim có nhiều tình huống mà sau khi xem xong, mình ngẫm nghĩ lại thấy rất đúng. Ở đời quan trọng là tấm lòng chứ không phải cứ ruột thịt mới có thể hi sinh cho nhau. Út Quý tuy là người sống thô lỗ, bất cần đời nhưng ai đối xử tốt thì sau này có cơ hội đều sẽ",0,1,1,0,0,phim nhiều tình_huống sau khi xem xong ngẫm_nghĩ_lại thấy rất đúng ở đời quan_trọng tấm lòng chứ không phải cứ ruột_thịt mới có_thể hi_sinh nhau t quý tuy người sống thô_lỗ bất_cần đời nhưng ai đối_xử tốt sau_này cơ_hội đều
phim nói về tâm lý và rào cản về tư duy trong mọi gia đình việt nam hiện nay. điều nhức nhối kéo dài gần 20 năm. đâu đó phảng phất hình ảnh của các vị cha mẹ độc hại yếu kém trong cuộc đời này và đổ lỗi con cái. nhưng cũng có hình ảnh yêu thương người thân nên,0,1,0,0,0,phim nói tâm_lý rào_cản tư_duy trong mọi gia_đình việt_nam hiện_nay điều nhức_nhối kéo_dài gần 20 năm đâu_đó phảng_phất hình_ảnh các vị cha_mẹ độc_hại yếu_kém trong cuộc_đời đổ lỗi con_cái nhưng hình_ảnh yêu_thương người_thân
"Phim thì cũng hay nhưng để dùng từ xuất sắc thì không. Mọi thứ trong phim đều ổn, từ kịch bản tới nội dung, góc quay, bối cảnh... Diễn viên ai nấy đều tròn vai. Ai cũng khen Trấn Thành diễn giỏi, Tuấn Trần đẹp trai rồi nên thôi mình khen Lê Giang diễn rất",1,1,1,0,0,phim hay nhưng để dùng từ xuất_sắc không mọi thứ trong phim đều ổn từ kịch_bản tới nội_dung góc quay bối_cảnh diễn_viên ai_nấy đều tròn vai ai khen trấn_thành diễn giỏi tuấn_trần đẹp_trai thôi khen lê_giang_diễn rất
"trời ơi t tức bộ phim này lắm nha hay gì mà hay dữ vậy á, lúc đầu xem kiểu bth thôi à dè càng xem càng khócccc, một lời khen cho Tuấn Trần là diễn càng ngày càng đạt, có tố chất diễn viên thực thụ, với lại giàu cảm xúc, làm tốt được khả năng của mình, góp một",1,0,0,0,1,trời t tức bộ phim hay hay dữ vậy lúc đầu xem bình_thường thôi dè càng xem càng khóc một lời khen tuấn_trần diễn càng_ngày_càng đạt tố_chất diễn_viên thực_thụ với_lại giàu cảm_xúc làm tốt được khả_năng góp một
phim rất hay nhưng kịch bản hơi có vấn đề phim k chạm tới được cảm xúc tại vì vui buồn xen kẽ khiến ng xem k nhập tâm kịp nhưng nói chung 1 tác phẩm điện ảnh Vn như này rất ok,0,1,0,0,1,phim rất hay nhưng kịch_bản hơi vấn_đề phim không chạm tới được cảm_xúc tại vui_buồn xen_kẽ khiến người xem không nhập_tâm kịp nhưng nói_chung 1 tác_phẩm điện_ảnh việt_nam rất ok
rất hay,0,0,0,0,0,rất hay
"Phim hay!!! Cảm động, thiết thực về con người và đời sống.",0,0,0,0,1,phim hay cảm_động thiết_thực con_người đời_sống
bộ phim làm cho m xem rất là xúc động về tình cảm gia đình nói chung và cha con nói riêng. sự quan tâm và hi sinh thầm lặng của ng cha. nhưng cũng pha nhưng yếu tố hài ước. một bộ phim rất đáng để xem.,0,1,0,1,1,bộ phim làm m xem rất xúc_động tình_cảm gia_đình nói_chung cha_con nói_riêng sự quan_tâm hi_sinh thầm_lặng ng_cha nhưng pha nhưng yếu_tố hài_ước một bộ phim rất đáng để xem
"dù tôi là con trai, nhưng tôi và những ngừoi bạn tôi xem hết phim ở rạp đều thấy ai cũng khóc nức nở. Phim quá tuyệt vời 🥰🥰🥺",0,0,0,0,1,dù tôi con trai nhưng tôi những ngưòi bạn tôi xem hết phim ở rạp đều thấy ai khóc nức_nở phim tuyệt_vời
rất hay và tài giỏi của các diễn viên lôi cuốn cảm xúc của mình,1,0,0,0,1,rất hay tài_giỏi các diễn_viên lôi_cuốn cảm_xúc
"phim rất hay gần gũi với mọi thế hệ, diễn xuất tự nhiên. Nội dung cài cắm ý nghĩa dễ dàng đi vào lòng người thấy thương và hiểu ông bà ba mẹ hơn: hãy biết trân trọng những gì hiện có. Phim ko phải là tiếc nuối nó đúng hơn là truyền tải tư tưởng khác nhau giữa các thế hệ và mong muốn thấu hiểu nhau hơn.",1,1,0,0,1,phim rất hay gần_gũi mọi thế_hệ diễn_xuất tự_nhiên nội_dung cài cắm ý_nghĩa dễ_dàng đi vào lòng người thấy thương hiểu ông_bà ba_mẹ hơn hãy biết trân_trọng những hiện phim không phải tiếc_nuối nó đúng hơn truyền_tải tư_tưởng khác nhau giữa các thế_hệ mong_muốn thấu_hiểu nhau hơn
đã khóc khi xem !,0,0,0,0,1,khóc khi xem
phim hay,0,0,0,0,0,phim hay
phim hay diễn thật,1,0,0,0,0,phim hay diễn thật
xem phim đc 2 lần. phim rất thật vs đời sống ngày thường,0,0,0,0,0,xem phim được 2 lần phim rất thật đời_sống ngày thường
"phim quá hay, mình xem tới 4 lần, đưa cả gia đình đi xem",0,0,0,0,0,phim hay xem tới 4 lần đưa cả gia_đình đi xem
ai còn cha còn mẹ đầy đủ thì hãy trân trọng lưu giữ lại những khoảnh khắc được ở bên cạnh,0,0,0,0,0,ai cha mẹ đầy_đủ hãy trân_trọng lưu_giữ những khoảnh_khắc được ở bên cạnh
bộ phim lấy được nước mắt và cả nụ cười của khán giả,0,0,0,1,1,bộ phim lấy được nước_mắt cả nụ cười khán_giả
"phim khá gần gũi, thực tế.vui và hài . có chiều sâu,đánh thức cách nhìn và cư xử của mỗi cá nhân trong gia đình. hội thoại thê hiện qdiem hop lí của mỗi thế hệ... tuy nhiên có nhieu khúc đang cảm xúc cao trào lại xen hài vào hơi nhanh. đúng chất Trấn thành.",0,1,0,1,0,phim khá gần_gũi thực_tế vui hài chiều sâu đánh_thức cách nhìn cư_xử mỗi cá_nhân trong gia_đình hội_thoại thê hiện_qdiem hop_lí mỗi thế_hệ tuy_nhiên nhieu_khúc đang cảm_xúc cao_trào xen_hài vào hơi nhanh đúng chất trấn thành
hay,0,0,0,0,0,hay
hay,0,0,0,0,0,hay
loveeeee thànhhhhhh,0,0,0,0,0,love thành
"Phim rất đầu tư về lời thoại, nội dung khá hay, nhưng vẫn tức cái kết!",0,1,0,0,0,phim rất đầu_tư lời_thoại nội_dung khá hay nhưng tức cái kết
phim rất hay,0,0,0,0,0,phim rất hay
"hay, nhiều cung bậc cảm xúc",0,0,0,0,0,hay nhiều cung_bậc cảm_xúc
Một bộ phim rất hay nó đánh vào tâm lý của tôi và tôi rất hài lòng,0,0,0,1,0,một bộ phim rất hay nó đánh vào tâm_lý tôi tôi rất hài_lòng
hay ý nghĩa mà m thấy đa phần các gia đình viẹt nam gạp phải,0,0,0,0,0,hay ý_nghĩa m thấy đa_phần các gia_đình viẹt nam gạp phải
hay,0,0,0,0,0,hay
"Phom khá hay, nên đi xem.",0,0,0,0,0,phom khá hay đi xem
hâyyayayy,0,0,0,0,0,hâyayay
phim hay,0,0,0,0,0,phim hay
rat hay,0,0,0,0,0,rat hay
phim cảm động khiến mình nhìn nhận và biết lo cho ba mẹ hơn,0,0,0,0,1,phim cảm_động khiến nhìn_nhận biết lo ba_mẹ hơn
hay ghe,0,0,0,0,0,hay ghe
phim rất ý nghĩa🥰,0,0,0,0,0,phim rất ý_nghĩa
hay,0,0,0,0,0,hay
hay va y nghia vua vui vua khoc,0,0,0,0,0,hay va_y nghia vua vui_vua khoc
rất xúc động,0,0,0,0,1,rất xúc_động
❤️,0,0,0,0,0,
"tôi cảm ơn đạo diễn và ekip khi cho khán giả xem bộ phim tạo cảm giác thư thái , cảm xúc lẫn lộn khó tả về gia đình",1,0,0,0,1,tôi cảm_ơn đạo_diễn ekip khi khán_giả xem bộ phim tạo cảm_giác thư_thái cảm_xúc lẫn_lộn khó tả gia_đình
phim hay như mong đợi của người xem. nhiều đoạn tình cảm rơi nc mắt luôn. có những câu nói đi vào lòng người nữa. phim này quá ý nghĩa,0,0,0,0,1,phim hay mong_đợi người xem nhiều đoạn tình_cảm rơi nc mắt những câu nói đi vào lòng người nữa phim ý_nghĩa
loveee,0,0,0,0,0,love
"phim hay, ấn tượng, xúc động, đầy hài hước, bất ngờ... có điều còn 1 lần nói tục.kkk",0,0,0,1,1,phim hay ấn_tượng xúc_động đầy hài_hước bất_ngờ có_điều 1 lần nói_tục không
Phim hay và ý nghĩa về tình cảm gia đình,0,0,0,0,0,phim hay ý_nghĩa tình_cảm gia_đình
"Hài hước và nước mắt có đủ ! bộ phim rất hay , đúng với xã hội bây giờ",0,0,0,1,1,hài_hước nước_mắt đủ bộ phim rất hay đúng xã_hội bây_giờ
"trùng hợp nhiều thứ, làm mình thấy phim như đời thực",0,0,0,0,0,trùng_hợp nhiều thứ làm thấy phim đời thực
quá tuyệt vời,0,0,0,0,0,tuyệt_vời
gút,0,0,0,0,0,gút
👍👍👍👍,0,0,0,0,0,
hay lắm luôn,0,0,0,0,0,hay
Phim thật sự rất hay. Mình coi lần 2 vẫn khóc nhen 😭,0,0,0,0,1,phim thật_sự rất hay coi lần 2 khóc nhen
Hay,0,0,0,0,0,hay
"Xem xong cảm giác như phim nói về csgđ của mình vậy. Thật sự cảm động. Phim hay, lôi cuốn, các diễn biến vừa hài hước vừa cảm động khiến khán giả cười ra nước mắt. Đáng tiền xem ạ!",0,0,0,1,1,xem xong cảm_giác phim nói csgđ vậy thật_sự cảm_động phim hay lôi_cuốn các diễn_biến vừa hài_hước vừa cảm_động khiến khán_giả cười_ra_nước_mắt đáng tiền xem
"phim thật sự rất hay, đã làm mình khóc, rất đáng tiền",0,0,0,0,1,phim thật_sự rất hay làm khóc rất đáng tiền
tuyệt vời! chỉ muốn đi xem lại tiếp thôi,0,0,0,0,0,tuyệt_vời chỉ muốn đi xem_lại tiếp thôi
phim rất hay,0,0,0,0,0,phim rất hay
"Cá nhân mình thấy phim bình thường chứ kh hay lắm,một số tình tiết còn vô lý.Nhưng dù sao phim vẫn rất có ý nghĩa. Đáng để xem",0,1,0,0,0,cá_nhân thấy phim bình_thường chứ không hay một_số tình_tiết vô_lý nhưng dù_sao phim rất ý_nghĩa đáng để xem
phim hay lắm luon vừa cảm động vừa hài,0,0,0,1,1,phim hay luon vừa cảm_động vừa hài
phim hay,0,0,0,0,0,phim hay
thật sự rất hài lòng về bộ phim. trên cả tuyệt vời,0,0,0,1,0,thật_sự rất hài_lòng bộ phim trên cả tuyệt_vời
rất hay,0,0,0,0,0,rất hay
hay,0,0,0,0,0,hay
phim rất hay và rất nhiều cảm xúc,0,0,0,0,0,phim rất hay rất nhiều cảm_xúc
tuyet voi,0,0,0,0,0,tuyet voi
rất hay,0,0,0,0,0,rất hay
rất hay!,0,0,0,0,0,rất hay
hay,0,0,0,0,0,hay
"Rất hay,cảm động lôi cuốn người xem.",0,0,0,0,1,rất hay cảm_động lôi_cuốn người xem
hay,0,0,0,0,0,hay
rất hay,0,0,0,0,0,rất hay
"nói chung là hay lắm nka mn, coi dii rồi khóc ^^",0,0,0,0,1,nói_chung hay nka mọi người coi di khóc
tuyet voi,0,0,0,0,0,tuyet voi
"trước giò không xem phim rạp đặc biệt là phim việt nhưng mấy ngày qua thấy dân tình đòn đại rồi rủ nhau xem , khi đọc tháy doanh thu của phim đạt khủng tôi vẫn hoài nghi về nội dung nhưng đến sáng nay để gíai đáp hoài nghi trong lòng nên tôi quyết định xem và",0,1,0,0,0,trước giò không xem phim_rạp đặc_biệt phim_việt nhưng mấy ngày qua thấy dân_tình đòn đại rủ nhau xem khi đọc tháy doanh_thu phim đạt khủng tôi hoài_nghi nội_dung nhưng đến sáng nay để giái_đáp hoài_nghi trong lòng tôi quyết_định xem
phim hay,0,0,0,0,0,phim hay
good,0,0,0,0,0,god
Chạm đến trái tim người xem. Thấy được hình ảnh bản thân và gia đình trong từng vai diễn,1,0,0,0,1,chạm đến trái_tim người xem thấy được hình_ảnh bản_thân gia_đình trong từng vai diễn
"Phim cũng hay, mà mình không có khóc....",0,0,0,0,1,phim hay không khóc
phim quá bth,0,0,0,0,0,phim bình_thường
good,0,0,0,0,0,god
"phim hay và ý nghĩa, nội dung và diễn viên thì khỏi bàn",1,1,0,0,0,phim hay ý_nghĩa nội_dung diễn_viên khỏi bàn
chưa bao giờ đi coi phim thì nên đi coi một lần trong đời!,0,0,0,0,0,chưa bao_giờ đi coi phim đi coi một lần trong đời
quá xuất sắc 🤩,0,0,0,0,0,xuất_sắc
đi xem 2 lần là khóc hết 2 lần,0,0,0,0,1,đi xem 2 lần khóc hết 2 lần
xúc động,0,0,0,0,0,xúc_động
diễn xuất bình thường,1,0,0,0,0,diễn_xuất bình_thường
quá hay,0,0,0,0,0,hay
rất hay,0,0,0,0,0,rất hay
film hay,0,0,0,0,0,phim hay
"phim có mấy tình tiết cảm động , đoạn cuối thì mình hơi bất ngờ k hiểu sao ba sang đc phẫu thuật ghét thận mà lại mất ? rõ lúc mổ còn nói là mong ca phẫu thuật thành công mà hix",0,1,0,0,1,phim mấy tình_tiết cảm_động đoạn cuối hơi bất_ngờ không hiểu sao ba sang được phẫu_thuật ghét thận mà_lại mất rõ lúc mổ nói mong_ca phẫu_thuật thành_công
bộ phim rất hay rất ý nghĩa ❤️,0,0,0,0,0,bộ phim rất hay rất ý_nghĩa
Xúc động và khóc sưng mắt,0,0,0,0,1,xúc_động khóc sưng mắt
Vợ chồng mình đi xem phim cùng Bố Mẹ 。 bộ phim lấy đi khá nhiều nước mắt của gia đình mình。phim hay。。。。。,0,0,0,0,1,vợ_chồng đi xem phim cùng bố_mẹ bộ phim lấy đi khá nhiều nước_mắt gia_đình phim hay
Trước giờ chưa có bộ phim nào lấy được nước mắt của tôi. Phim quá tuyệt vời và rất ý nghĩa. Chúc mừng phim đã thành công.,0,0,0,0,0,trước giờ chưa bộ phim nào lấy được nước_mắt tôi phim tuyệt_vời rất ý_nghĩa chúc_mừng phim thành_công
cảm động,0,0,0,0,1,cảm_động
HAY,0,0,0,0,0,hay
"Diễn viên tròn vai, cốt truyện bình thường, hơi dài dòng. Khúc đầu coi muốn buồn ngủ.",1,1,0,0,0,diễn_viên tròn vai_cốt truyện bình_thường hơi dài dòng khúc đầu coi muốn buồn ngủ
"như nói lên cs chính mình, x",0,0,0,0,0,nói cs chính x
tuyệt vời,0,0,0,0,0,tuyệt_vời
"phim hay không thể tả, cực kỳ thích phim",0,0,0,0,0,phim hay không_thể tả cực_kỳ thích phim
xúc động,0,0,0,0,1,xúc_động
ko nói lên lời,0,0,0,0,0,không nói lời
cám ơn bố già đã mang đến tác phẩm rất ý nghĩa,0,0,0,0,0,cám_ơn bố_già mang đến tác_phẩm rất ý_nghĩa
"Đó giờ mình chưa bao giờ thấy phim điện ảnh VN nào mà hay, xúc động lẫn hài hước và ý nghĩa như vậy. Xem xong dư âm trong lòng vẫn còn khiến cho mình muốn xem lại lần nữa",0,0,0,1,1,đó giờ chưa bao_giờ thấy phim điện_ảnh việt_nam nào hay xúc_động lẫn hài_hước ý_nghĩa như_vậy xem xong dư_âm trong lòng khiến muốn xem_lại lần nữa
Lâu rồi mới có bộ phim khiến mình muốn ra rạp coi lại lần nữa :))),0,0,0,0,0,lâu mới bộ phim khiến muốn ra rạp coi lần nữa
phim quá xuất sắc mọi người nên đi xem 👍,0,0,0,0,0,phim xuất_sắc mọi người đi xem
cứ nghĩ xem cả phim mình đã không khóc cú twist cuối phim cũng đã làm t rơi lệ huhu,0,0,0,0,1,cứ nghĩ xem cả phim không khóc cú twist cuối phim làm t rơi_lệ
siêu phẩm😻,0,0,0,0,0,siêu_phẩm
hay quá,0,0,0,0,0,hay
phim rất hay và cảm động,0,0,0,0,1,phim rất hay cảm_động
